Bill of Materials,,,,,,,,,,,,,,,,,,,
Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,LCSC Part Number,Other Part Number,Description,,,,,,,,,
PL3,1,2WP,,PIN,RS PRO 2.54mm,,251-8086,,,2 way Pin Header,,,,,,,,,
J1,1,4WP,,TERM ,RS PRO 5.08mm,,790-1076,,,"MKDSN 4 ,5/2 2way PCB terminal block",,,,,,,,,
J2,1,2WP,,TERM ,RS PRO 5.08mm,,8045118,,,"MKDSN 2 ,5/2 4way PCB terminal block",,,,,,,,,
ETH,1,2301994-9,,RJ45,HANRUN,HY911105AE,144-3327,C69427,,"TE Connectivity Cat6 RJ45 Modular Jack Socket, Nickel Plated Brass, Right Angle, PCB Mount 2031994",,,,,,,,,
RGB,1,61201621721,,MALE SOCKET,Amphenol,T821116A1S100CEU,832-3500,,,"Wurth Elektronik WR-BHD, 2.54mm Pitch, 16 Way, 2 Row, Right Angle PCB Header, Through Hole",,,,,,,,,
RST,1,TL1105CF160Q,,TL1105CF160Q,E-Switch,TL1105CF160Q,479-1413,,,Tactile Switches 6X6X8MM 160GF,,,,,,,,,
3V,1,LED,,LED 5MM RED,Everlight Elec,333-2SYGD/S530-E2-L,228-6004,C99697,,Light Em Diode,,,,,,,,,
F1,1,RKEF075,,USER,LITTELFUSE,RKEF075,712-7480,C2153790,,"Littelfuse 0.75A Radial Leaded PCB Mount Resettable Fuse, 60V",,,,,,,,,
F2,1,RUEF300,,RUEF300,LITTELFUSE,RUEF300,517-6821P,C1562285,,"Littelfuse 3A Radial Leaded PCB Mount Resettable Fuse, 30V dc",,,,,,,,,
L1,1,RLF12560T-100M7R5-PF,,INDPM125128X600N,TDK,RLF12560T-100M7R5-PF,741-3267,C138514,,TDK RLF12560 Series Shielded Wire-wound SMD Inductor 10 uH +/-20% 7.8A Idc,,,,,,,,,
FL1,1,BLM21BD102SN1D_250_100Mhz_0805,,BLM21BB050SH1D,Murata Electronics,BLM21BD102SN1D,230-3834P,C37751,,BLM21_N1D Series EMI Suppression Filter 1000+/-25% at 100MHz 250mA @85,,,,,,,,,
Y3,1,ABM3B-8.000MHZ-10-1-U-T,,ABM3B,ABRACON,ABM3B-8.000MHZ-10-1-U-T,171-2700,C276420,," 8MHz Crystal +/-10ppm 4-SMD, No Lead 5 x 3 x 1.1mm",,,,,,,,,
Y1,1,ABM3B-25.000MHZ-10-1-U-T,,ABM3B,ABRACON,ABM3B-25.000MHZ-10-1-U-T,171-0627,C596876,,25MHz Crystal +/-10ppm SMD 5 x 3 x 1.1mm,,,,,,,,,
D1,1,SBRD10200TR,,SMC_DPAK,SMC Diode Solutions,SBRD10200TR,180-7316,C260297,,SCHOTTKY RECTIFIER,,,,,,,,,
D2,1,CDSOT23-SM712,,SOT95P230X117-3N,Bourns,CDSOT23-SM712,7673728P,C404012,,"TVS Diode Dual Bi-Dir 7/12V 30KV SOT23 Bourns CDSOT23-SM712 Dual Bi-Directional TVS Diode, 400W peak, 3-Pin SOT-23",,,,,,,,,
D3,1,1N4007F,,SODFL4626X110N,Shikues,1N4007F,124-6806,C209641,,Surface Mount General Purpose Silicon Rectifiers,,,,,,,,,
D4,1,SMBJ6.5CA-Q,,DIONM5436X244N,Bourns,SMBJ6.5CA-Q,699-8085,,,"SMBJ-Q Transient Voltage Suppressor Diode Series, Bi-Directional",,,,,,,,,
D5,1,SMBJ36CA,,DIONM5336X245N,ON Semiconductor,SMBJ36CA,802-2332,,,"Diode, Fairchild, SMBJ36CA Fairchild SMBJ36CA, Bi-Directional TVS Diode, 600W, 2-Pin DO-214AA",,,,,,,,,
IC1,1,TPS5450DDAG4,,SOIC127P600X170-9N,Texas Instruments,TPS5450DDAG4,,C114425,,Conv DC-DC 5.5V to 36V Step Down Single-Out 1.22V to 31V 5A 8-Pin HSOP EP Tube,,,,,,,,,
IC3,1,SN75HVD12DR,,SOIC127P600X175-8N,Texas Instruments,SN75HVD12DR,527-697,C485820,,3.3-V differential transceiver,,,,,,,,,
PIC32,1,PIC32MX170F256B-50I_SO,,SOIC127P1030X265-28N,Microchip,PIC32MX170F256B-50I/SO,916-3762,,,"Microchip PIC32MX170F256B-50I/SO, 32bit Microcontroller, 50MHz, 256 + 3 kB Flash, 28-Pin SOIC",,,,,,,,,
IC4,1,ENC28J60-I_SO,,SOIC127P1030X265-28N,Microchip,ENC28J60-I/SO,698-8987,C47351,,"Ethernet Controller, 8 KB RAM, MAC&PHY",,,,,,,,,
IC2,1,LM1117IMPX3.3_NOPB,,SOT230P700X180-4N,Texas Instruments,LM1117IMPX3.3/NOPB,208-8523,C9662,,Space Saving 800mA Low-Dropout Linear Regulator with Internal Current Limit 4-SOT-223 -40 to 125,,,,,,,,,
"R19,24,25,26",1,R 0.1W SMTF 0,,SM0805,,,,,,Thick Film Surface Mount Resistor,,,,,,,,,
