"1N4007F","","SODFL4626X110N","37","6.71","270.00","37.55","6.71","270.00"
"1WP","","DSC","7","52.96","0.00","7.45","52.96","0.00"
"1WP","","DSC","32","44.16","0.00","32.08","44.16","0.00"
"6TPE220MAZB","","CAPPM3528X200N","23","42.86","90.00","23.45","42.86","90.00"
"6TPE220MAZB","","CAPPM3528X200N","27","42.86","90.00","27.45","42.86","90.00"
"50SVPF68M","","CAPAE1030X1270N","27","33.33","0.00","27.75","33.33","0.00"
"50SVPF68M","","CAPAE1030X1270N","20","21.73","0.00","20.35","21.73","0.00"
"08051A220JATDA","","SM0805","38","62.98","270.00","38.98","62.98","270.00"
"08051A220JATDA","","SM0805","39","59.71","270.00","39.00","59.71","270.00"
"08055C103KATDA","","C0805","5","46.53","0.00","5.83","46.53","0.00"
"08055C103KATDA","","C0805","18","13.28","270.00","18.33","13.28","270.00"
"08055C103KATDA","","C0805","16","12.08","270.00","16.08","12.08","270.00"
"08055C103KATDA","","C0805","61","36.51","90.00","61.28","36.51","90.00"
"08055C103KATDA","","C0805","54","15.58","0.00","54.78","15.58","0.00"
"08055C103KATDA","","C0805","31","65.75","180.00","31.05","65.75","180.00"
"08055C103KATDA","","C0805","30","79.88","180.00","30.68","79.88","180.00"
"08055C103KATDA","","C0805","39","34.88","180.00","39.30","34.88","180.00"
"08055C104KATDA","","C0805","13","12.08","270.00","13.93","12.08","270.00"
"08055C104KATDA","","C0805","20","13.33","270.00","20.63","13.33","270.00"
"08055C104KATDA","","C0805","58","36.51","90.00","58.88","36.51","90.00"
"08055C104KATDA","","C0805","56","11.73","270.00","56.13","11.73","270.00"
"08055C104KATDA","","C0805","54","17.80","0.00","54.77","17.80","0.00"
"08055C104KATDA","","C0805","39","37.08","180.00","39.30","37.08","180.00"
"08055C104KATDA","","C0805","17","41.78","90.00","17.73","41.78","90.00"
"08055C222KATDA","","C0805","42","29.38","180.00","42.68","29.38","180.00"
"08055C222KATDA","","C0805","42","22.48","0.00","42.18","22.48","0.00"
"1869237","","SHDR4W100P0X508_1X4_2132X1200X","6","19.38","90.00","6.30","27.00","90.00"
"2301994-9","","23019949","13","72.23","90.00","13.88","72.23","90.00"
"61201621721","","61201621721","52","72.89","0.00","44.05","66.72","0.00"
"ABM3B-8.000MHZ-10-1-U-T","","ABM3B","42","26.37","180.00","42.13","26.13","180.00"
"ABM3B-25.000MHZ-10-1-U-T","","ABM3B","44","61.03","270.00","44.00","61.03","270.00"
"BLM21BB050SH1D_250_100Mhz_0805","","BLM21BB050SH1D","35","78.98","270.00","35.78","78.98","270.00"
