Designator,Footprint,Mid X,Mid Y,Pad X,Pad Y,Layer,Rotation,Description
Fid1,USER,3.15,3.17,0,5.92,T,0,Fiducial
Fid2,USER,3.17,86.22,0,88.97,T,0,Fiducial
Fid3,USER,64.4,86.22,61,88.97,T,0,Fiducial
Fid4,USER,64.35,3.15,61,5.9,T,0,Fiducial
R1,SM0805,3.29,36.58,3,36.58,T,180,R 0.1W SMTF 10K
R2,SM0805,5.19,33.78,5,33.78,T,180,R 0.1W SMTF 3.3K
R3,SM0805,46.05,42.3,46,42.31,T,90,R 0.1W SMTF 10K
R4,SM0805,49.25,42.3,49,42.31,T,90,R 0.1W SMTF 10K
R5,SM0805,53.47,11.48,53,11.48,T,0,R 0.1W SMTF 10K
R6,SM0805,61.26,28.51,61,28.51,T,180,R 0.1W SMTF 100
R7,SM0805,61.26,30.75,61,30.75,T,180,R 0.1W SMTF 100
R8,SM0805,61.26,33.11,61,33.11,T,180,R 0.1W SMTF 100
R9,SM0805,57.46,43.81,57,43.81,T,180,R 0.1W SMTF 2.7K
R10,SM0805,30.51,69.38,30,69.38,T,180,R 0.1W SMTF 47
R11,SM0805,30.51,71.88,30,71.88,T,180,R 0.1W SMTF 47
R12,SM0805,30.51,76.88,30,76.88,T,180,R 0.1W SMTF 47
R13,SM0805,30.51,74.42,30,74.42,T,180,R 0.1W SMTF 47
R14,SM0805,8.04,60.38,8,60.38,T,180,R 0.1W SMTF 1.0K
R15,SM0805,14.99,60.43,14,60.43,T,180,R 0.1W SMTF 1.0K
R16,SM0805,42.5,36.24,42,36.25,T,90,R 0.1W SMTF 1.0K
R17,SM0805,19.08,7.87,19,7.88,T,90,R 0.1W SMTF 1.0K
R18,SM0805,32.98,8.17,32,8.18,T,90,R 0.1W SMTF 1.0K
FL1,BLM21BB050SH1D,35.74,79.08,35,78.98,T,90,BLM21BB050SH1D_250_100Mhz_0805
C2,C0805,5.83,46.53,5,46.53,T,0,08055C103KATDA
C7,C0805,16.08,12.07,16,12.08,T,90,08055C103KATDA
C9,C0805,18.33,13.27,18,13.28,T,90,08055C103KATDA
C11,C0805,61.25,36.51,61,36.51,T,270,08055C103KATDA
C15,C0805,30.75,66,30,66,T,180,08055C103KATDA
C17,C0805,54.78,15.58,54,15.58,T,0,08055C103KATDA
C19,C0805,30.75,79.88,30,79.88,T,180,08055C103KATDA
C24,C0805,39.3,34.88,39,34.88,T,180,08055C103KATDA
C5,C0805,20.63,13.32,20,13.33,T,90,08055C104KATDA
C8,C0805,59,36.51,59,36.51,T,270,08055C104KATDA
C10,C0805,56.13,11.72,56,11.73,T,90,08055C104KATDA
C12,C0805,13.93,12.07,13,12.08,T,90,08055C104KATDA
C14,C0805,54.77,17.8,54,17.8,T,0,08055C104KATDA
C25,C0805,39.31,37.08,39,37.08,T,180,08055C104KATDA
C27,C0805,18.7,41.79,18,41.78,T,270,08055C104KATDA
C20,SM0805,38.99,59.71,39,59.71,T,0,08051A220JATDA
C21,SM0805,38.97,62.98,38,62.98,T,0,08051A220JATDA
C22,C0805,42.69,29.38,42,29.38,T,180,08055C222KATDA
C23,C0805,42.18,22.48,42,22.48,T,0,08055C222KATDA
C6,CAPPM3216X180N,59.98,39.83,59,39.83,T,0,TCJA106M016R0200
C13,CAPPM3216X180N,61.15,25.41,61,25.41,T,180,TCJA106M016R0200
C18,CAPPM3216X180N,41.58,43.21,41,43.21,T,0,TCJA106M016R0200
C3,CAPPM3528X200N,23.45,42.86,23,42.86,T,270,6TPE220MAZB
C4,CAPPM3528X200N,27.45,42.86,27,42.86,T,270,6TPE220MAZB
Y1,ABM3B,44.25,61.03,44,61.03,T,90,ABM3B-25.000MHZ-10-1-U-T
Y3,ABM3B,42.13,26.37,42,26.13,T,180,ABM3B-8.000MHZ-10-1-U-T
D1,SMC_DPAK,13.5,51.35,13,51.35,T,90,SBRD10200TR
D3,SODFL4626X110N,37.55,6.71,37,6.71,T,90,1N4007F
D4,DIONM5436X244N,15.2,32.88,15,32.88,T,90,SMBJ6.5CA-Q
D5,DIONM5336X245N,15.2,40.18,15,40.18,T,90,SMBJ36CA
IC2,SOT230P700X180-4N,26.88,11.68,26,11.68,T,0,LM1117IMPX3.3_NOPB
IC1,SOIC127P600X170-9N,5.78,42.38,5,42.38,T,0,TPS5450DDAR
IC4,SOIC127P1030X265-28N,49.25,51.11,49,51.11,T,90,ENC28J60-I_SO
PIC32,SOIC127P1030X265-28N,51.68,28.68,51,28.68,T,0,PIC32MX170F256B-50I_SO
C16,FKV(D),34.63,18.68,34,19,T,90,EEEFK1C101AP
C1,CAPAE1030X1270N,27.75,33.33,27,33.33,T,0,50SVPF68M
C26,CAPAE1030X1270N,20.35,21.73,20,21.73,T,0,50SVPF68M
L1,INDPM125128X600N,25.13,52.88,25,52.88,T,0,RLF12560T-100M7R5-PF
