"Designator","Footprint","Pad X","Pad Y","Mid X","Mid Y","Layer","Rotation","Comment","Value"
---------------------------------------------------------------------------------------------
"IC1","SOIC127P600X170-9N","5.78","42.38","5.78","42.38","Top","0.00","TPS5450DDAR","TPS5450DDAR"
"C1","CAPAE1030X1270N","27.75","33.33","27.75","33.33","Top","0.00","50SVPF68M","50SVPF68M"
"C2","C0805","5.83","46.53","5.83","46.53","Top","0.00","08055C103KATDA",""
"D1","SMC_DPAK","13.53","51.74","13.53","51.74","Top","270.00","SBRD10200TR","SBRD10200TR"
"R1","SM0805","3.28","36.58","3.28","36.58","Top","90.00","R 0.1W SMTF 10K",""
"R2","SM0805","5.18","33.78","5.18","33.78","Top","90.00","R 0.1W SMTF 3.3K",""
"C3","CAPPM3528X200N","23.45","42.86","23.45","42.86","Top","90.00","6TPE220MAZB","6TPE220MAZB"
"J1","SHDR4W100P0X508_1X4_2132X1200X","6.30","19.38","6.30","19.38","Top","90.00","1869237","1869237"
"C4","CAPPM3528X200N","27.45","42.86","27.45","42.86","Top","90.00","6TPE220MAZB","6TPE220MAZB"
"IC2","SOT230P700X180-4N","26.88","11.68","26.88","11.68","Top","0.00","LM1117IMPX3.3_NOPB","LM1117IMPX3.3/NOPB"
"C9","C0805","18.33","13.28","18.33","13.28","Top","270.00","08055C103KATDA",""
"C7","C0805","16.08","12.08","16.08","12.08","Top","270.00","08055C103KATDA",""
"C12","C0805","13.93","12.08","13.93","12.08","Top","270.00","08055C104KATDA",""
"PIC32","SOIC127P1030X265-28N","51.68","28.68","51.68","28.68","Top","0.00","PIC32MX170F256B-50I_SO","PIC32MX170F256B-50I/SO"
"R3","SM0805","46.05","42.31","46.05","42.31","Top","180.00","R 0.1W SMTF 10K",""
"R4","SM0805","49.25","42.31","49.25","42.31","Top","180.00","R 0.1W SMTF 10K",""
"C11","C0805","61.28","36.51","61.28","36.51","Top","90.00","08055C103KATDA",""
"C6","CAPPM3216X180N","59.98","39.83","59.98","39.83","Top","0.00","TCJA106M016R0200","TCJA106M016R0200"
"RGB","61201621721","52.94","72.89","52.94","72.89","Top","0.00","61201621721","61201621721"
"RST","TL1105CF160Q","62.03","11.98","62.03","11.98","Top","270.00","TL1105CF160Q","TL1105CF160Q"
"R5","SM0805","53.48","11.48","53.48","11.48","Top","0.00","R 0.1W SMTF 10K",""
"IC4","SOIC127P1030X265-28N","49.25","51.11","49.25","51.11","Top","270.00","ENC28J60-I_SO","ENC28J60-I/SO"
"R6","SM0805","61.25","28.51","61.25","28.51","Top","90.00","R 0.1W SMTF 100",""
"R7","SM0805","61.25","30.81","61.25","30.81","Top","90.00","R 0.1W SMTF 100",""
"R8","SM0805","61.25","33.11","61.25","33.11","Top","90.00","R 0.1W SMTF 100",""
"C16","FKV(D)","34.63","18.68","34.63","18.68","Top","270.00","EEEFK1C101AP","EEEFK1C101AP"
"D3","SODFL4626X110N","37.55","6.71","37.55","6.71","Top","270.00","1N4007F","1N4007F"
"L1","INDPM125128X600N","25.13","52.88","25.13","52.88","Top","0.00","RLF12560T-100M7R5-PF","RLF12560T-100M7R5-PF"
"C5","C0805","20.63","13.33","20.63","13.33","Top","270.00","08055C104KATDA",""
"C8","C0805","58.88","36.51","58.88","36.51","Top","90.00","08055C104KATDA",""
"C13","CAPPM3216X180N","61.15","25.41","61.15","25.41","Top","180.00","TCJA106M016R0200","TCJA106M016R0200"
"C10","C0805","56.13","11.73","56.13","11.73","Top","270.00","08055C104KATDA",""
"C14","C0805","54.77","17.80","54.77","17.80","Top","0.00","08055C104KATDA",""
"C17","C0805","54.78","15.58","54.78","15.58","Top","0.00","08055C103KATDA",""
"C18","CAPPM3216X180N","41.58","43.21","41.58","43.21","Top","0.00","TCJA106M016R0200","TCJA106M016R0200"
"ETH","23019949","13.81","72.23","13.81","72.23","Top","90.00","2301994-9","2301994-9"
