Designator,Footprint,Pad X,Pad Y,Mid X,Mid Y,Layer,Rotation,Comment,Value
Fid4,testFid,524.3,468.8,524.3,468.8,Top,0,Fiducial,null
Fid3,testFid,524.3,551.8,524.3,551.8,Top,0,Fiducial,null
Fid2,testFid,463,551.8,463,551.8,Top,0,Fiducial,null
Fid1,testFid,463,468.8,463,468.8,Top,0,Fiducial,null
IC1,SOIC127P600X170-9N,465.7,508,465.7,508,Top,0,TPS5450DDAR,TPS5450DDAR
C1,CAPAE1030X1270N,484.5,497.95,484.5,497.95,Top,0,50SVPF68M,50SVPF68M
C2,C0805,465.75,512.15,465.75,512.15,Top,0,08055C103KATDA,10nf 50v
D1,SMC_DPAK,473.45,516.73,473.45,516.73,Top,90,SBRD10200TR,SBRD10200TR
R1,SM0805,463.2,502.2,463.2,502.2,Top,270,R 0.1W SMTF 10K,10k
R2,SM0805,465.1,499.4,465.1,499.4,Top,270,R 0.1W SMTF 3.3K,3.3k
C3,CAPPM3528X200N,483.25,507.25,483.25,507.25,Top,270,6TPE220MAZB,220uf 6.3v
C4,CAPPM3528X200N,487.15,507.3,487.15,507.3,Top,270,6TPE220MAZB,220uf 6.3v
IC2,SOT230P700X180-4N,486.8,477.3,486.8,477.3,Top,0,LM1117IMPX3.3_NOPB,3.3v Reg
C9,C0805,478.25,478.9,478.25,478.9,Top,90,08055C103KATDA,10nf 50v
C7,C0805,476,477.7,476,477.7,Top,90,08055C103KATDA,10nf 50v
C12,C0805,473.85,477.7,473.85,477.7,Top,90,08055C104KATDA,100nf 50v
PIC32,SOIC,511.6,494.3,511.6,494.3,Top,0,PIC32MX170F256B-50I_SO,PIC32MX170F256B-50I/SO
R3,SM0805,512.3,504.9,512.3,504.9,Top,270,R 0.1W SMTF 10K,10k
R4,SM0805,512.3,507.3,512.3,507.3,Top,270,R 0.1W SMTF 10K,10k
C11,C0805,521.2,501.9,521.2,501.9,Top,270,08055C103KATDA,10nf 50v
C6,CAPPM3216X180N,519.9,505.45,519.9,505.45,Top,0,TCJA106M016R0200,10uf 16v Tant
R5,SM0805,513.4,477.1,513.4,477.1,Top,0,R 0.1W SMTF 10K,10k
