Bill Of Materials
"Report Written:","Tuesday, January 05, 2021"
"Design Path:","C:\Users\GIT\RGB_Industrial_Display_PCB\RGB_Industrial_Display_PCB.prj"
"Design Title:",""
"Created:",""
"Last Saved:",""
"Editing Time:","2996 min"
"Units:","thou (precision 0)"

"Component","Value","Package","RS Part Number","Qty","RS Price","In Stock","Ref Name","Description","Mfr. Part No."
"1N4007F",,"SODFL4626X110N",124-6806,1,0.108,0,"D3","Surface Mount General Purpose Silicon Rectifiers","1N4007F"
"6TPE220MAZB",,"CAPPM3528X200N","7955960P",2,2.292,18920,"C3-4","Panasonic 220uF SMD Solid Polymer Tantalum Capacitor, 6.3 V dc +/-20%, POSCAP Series","6TPE220MAZB"
"50SVPF68M",,"CAPAE1030X1270N","7955421P",1,1.985,6686,"C1","Panasonic 68uF 50 V dc Polymer Aluminium Electrolytic Capacitor F12, OS-CON Series 5000h 10 x 12.6mm","50SVPF68M"
"08051A220JATDA",,"SM0805",144-2523,1,0.498,460,"C20","Capacitor, Surface Mount Multi-Layer Ceramic",
"08051A220JATDA",,"SM0805",648-0935,1,0.112,8940,"C21","Capacitor, Surface Mount Multi-Layer Ceramic",
"08055C103KATDA",,"C0805",698-3462,8,1.240,780,"C2, C7, C9, C11, C15, C17, C19, C24","Capacitor, Surface Mount, Multi-Layer Ceramic",
"08055C104KATDA",,"C0805",134-9149,6,0.726,42300,"C5, C8, C10, C12, C14, C25","Capacitor, Surface Mount, Multi-Layer Ceramic",
"08055C222KATDA",,"C0805",698-3462,2,0.310,780,"C22-23","Capacitor, Surface Mount, Multi-Layer Ceramic",
1869237,,"SHDR4W100P0X508_1X4_2132X1200X",790-1076,1,0.740,0,"J1","SMKDSN 1,5/4-5.08 4way 5.08mm Phoenix Contact COMBICON SMKDSN Series 5.08mm Pitch Straight PCB Terminal Block with Screw Termination, Through Hole",1869237
2301994-9,,23019949,144-3327,1,6.360,139,"J4","TE Connectivity Cat6 RJ45 Modular Jack Socket, Nickel Plated Brass, Right Angle, PCB Mount 2031994",2301994-9
61201621721,,61201621721,7718367,1,0.592,100,"J2","Wurth Elektronik WR-BHD, 2.54mm Pitch, 16 Way, 2 Row, Right Angle PCB Header, Through Hole",61201621721
"ABM3B-8.000MHZ-10-1-U-T",,"ABM3B",171-2700,1,6.000,430,"Y3","Abracon 8MHz Crystal +/-10ppm 4-SMD, No Lead 5 x 3 x 1.1mm","ABM3B-8.000MHZ-10-1-U-T"
"BLM21BB050SH1D_250_100Mhz_0805",,"BLM21BB050SH1D",230-3834,1,0.072,200,"FL1","BLM21_N1D Series EMI Suppression Filter 1000+/-25% at 100MHz 250mA @85","BLM21BD102SN1D"
"CONN_SIL_5",,"DSC",669-5323,1,0.149,210,"PL1","5 way Pin Header",
"EEEFK1C101AP",,"FKV(D)",565-695,1,0.088,210,"C16","Aluminum Electrolytic Capacitors - SMD 100UF 16V FK SMD","EEEFK1C101AP"
"ENC28J60-I_SS",,"SOP65P780X200-28N","7707755P",1,2.120,140,"IC4","Stand-Alone Ethernet Controller","ENC28J60-I/SS"
"LED","LED 5MM RED","DSC",906-6197,1,0.112,0,"LED1","Light Em Di","5SYD"
"LED","LED 5MM RED","DSC",906-6197,1,0.112,0,"LED2","Light Em Di",
