"Designator","Footprint","Mid X","Mid Y","Pad X","Pad Y","Layer","Rotation","Description"
"3V","DSC","29.08","4.64","29","3.28","Top","180.00","LED"
"5V","DSC","23.08","4.64","23","3.28","Top","180.00","LED"
"C1","CAPAE1030X1270N","27.75","33.33","27","33.33","Top","0.00","50SVPF68M"
"C2","C0805","5.83","46.53","5","46.53","Top","0.00","08055C103KATDA"
"C3","CAPPM3528X200N","23.45","42.86","23","42.86","Top","270.00","6TPE220MAZB"
"C4","CAPPM3528X200N","27.45","42.86","27","42.86","Top","270.00","6TPE220MAZB"
"C5","C0805","20.63","13.32","20","13.33","Top","90.00","08055C104KATDA"
"C6","CAPPM3216X180N","59.98","39.83","59","39.83","Top","0.00","TCJA106M016R0200"
"C7","C0805","16.08","12.07","16","12.08","Top","90.00","08055C103KATDA"
"C8","C0805","59.00","36.51","59","36.51","Top","270.00","08055C104KATDA"
"C9","C0805","18.33","13.27","18","13.28","Top","90.00","08055C103KATDA"
"C10","C0805","56.13","11.72","56","11.73","Top","90.00","08055C104KATDA"
"C11","C0805","61.25","36.51","61","36.51","Top","270.00","08055C103KATDA"
"C12","C0805","13.93","12.07","13","12.08","Top","90.00","08055C104KATDA"
"C13","CAPPM3216X180N","61.15","25.41","61","25.41","Top","180.00","TCJA106M016R0200"
"C14","C0805","54.77","17.80","54","17.80","Top","0.00","08055C104KATDA"
"C15","C0805","30.75","66.00","30","66.00","Top","180.00","08055C103KATDA"
"C16","FKV(D)","34.63","18.68","34","19.00","Top","90.00","EEEFK1C101AP"
"C17","C0805","54.78","15.58","54","15.58","Top","0.00","08055C103KATDA"
"C18","CAPPM3216X180N","41.58","43.21","41","43.21","Top","0.00","TCJA106M016R0200"
"C19","C0805","30.75","79.88","30","79.88","Top","180.00","08055C103KATDA"
"C20","SM0805","38.99","59.71","39","59.71","Top","0.00","08051A220JATDA"
"C21","SM0805","38.97","62.98","38","62.98","Top","0.00","08051A220JATDA"
"C22","C0805","42.69","29.38","42","29.38","Top","180.00","08055C222KATDA"
"C23","C0805","42.18","22.48","42","22.48","Top","0.00","08055C222KATDA"
"C24","C0805","39.30","34.88","39","34.88","Top","180.00","08055C103KATDA"
"C25","C0805","39.31","37.08","39","37.08","Top","180.00","08055C104KATDA"
"C26","CAPAE1030X1270N","20.35","21.73","20","21.73","Top","0.00","50SVPF68M"
"C27","C0805","18.70","41.79","18","41.78","Top","270.00","08055C104KATDA"
"D1","SMC_DPAK","13.50","51.35","13","51.35","Top","90.00","SBRD10200TR"
"D3","SODFL4626X110N","37.55","6.71","37","6.71","Top","90.00","1N4007F"
"D4","DIONM5436X244N","15.20","32.88","15","32.88","Top","90.00","SMBJ6.5CA-Q"
"D5","DIONM5336X245N","15.20","40.18","15","40.18","Top","90.00","SMBJ36CA"
"ETH","23019949","13.81","72.23","13","72.23","Top","270.00","2301994-9"
"F1","RKEF075","10.00","34.90","10","32.36","Top","90.00","RKEF075"
"F2","RUEF300","13.32","3.42","15","3.42","Top","180.00","RUEF300"
"Fid1","USER","3.15","3.17","0","5.92","Top","0.00","Fiducial"
"Fid2","USER","3.17","86.22","0","88.97","Top","0.00","Fiducial"
"Fid3","USER","64.40","86.22","61","88.97","Top","0.00","Fiducial"
"Fid4","USER","64.35","3.15","61","5.90","Top","0.00","Fiducial"
"FL1","BLM21BB050SH1D","35.74","79.08","35","78.98","Top","90.00","BLM21BB050SH1D_250_100Mhz_0805"
"IC1","SOIC127P600X170-9N","5.78","42.38","5","42.38","Top","0.00","TPS5450DDAR"
"IC2","SOT230P700X180-4N","26.88","11.68","26","11.68","Top","0.00","LM1117IMPX3.3_NOPB"
"IC4","SOIC127P1030X265-28N","49.25","51.11","49","51.11","Top","90.00","ENC28J60-I_SO"
"J1","SHDR4W100P0X508_1X4_2132X1200X","6.30","19.38","6","27.00","Top","270.00","1869237"
"L1","INDPM125128X600N","25.13","52.88","25","52.88","Top","0.00","RLF12560T-100M7R5-PF"
"PIC32","SOIC127P1030X265-28N","51.68","28.68","51","28.68","Top","0.00","PIC32MX170F256B-50I_SO"
"PRGM","DSC","44.70","13.50","49","13.50","Top","270.00","CONN_SIL_5"
"R1","SM0805","3.29","36.58","3","36.58","Top","180.00","R 0.1W SMTF 10K"
"R2","SM0805","5.19","33.78","5","33.78","Top","180.00","R 0.1W SMTF 3.3K"
"R3","SM0805","46.05","42.30","46","42.31","Top","90.00","R 0.1W SMTF 10K"
"R4","SM0805","49.25","42.30","49","42.31","Top","90.00","R 0.1W SMTF 10K"
"R5","SM0805","53.47","11.48","53","11.48","Top","0.00","R 0.1W SMTF 10K"
"R6","SM0805","61.26","28.51","61","28.51","Top","180.00","R 0.1W SMTF 100"
"R7","SM0805","61.26","30.75","61","30.75","Top","180.00","R 0.1W SMTF 100"
"R8","SM0805","61.26","33.11","61","33.11","Top","180.00","R 0.1W SMTF 100"
"R9","SM0805","57.46","43.81","57","43.81","Top","180.00","R 0.1W SMTF 2.7K"
"R10","SM0805","30.51","69.38","30","69.38","Top","180.00","R 0.1W SMTF 47"
"R11","SM0805","30.51","71.88","30","71.88","Top","180.00","R 0.1W SMTF 47"
"R12","SM0805","30.51","76.88","30","76.88","Top","180.00","R 0.1W SMTF 47"
"R13","SM0805","30.51","74.42","30","74.42","Top","180.00","R 0.1W SMTF 47"
"R14","SM0805","8.04","60.38","8","60.38","Top","180.00","R 0.1W SMTF 1.0K"
"R15","SM0805","14.99","60.43","14","60.43","Top","180.00","R 0.1W SMTF 1.0K"
"R16","SM0805","42.50","36.24","42","36.25","Top","90.00","R 0.1W SMTF 1.0K"
"R17","SM0805","19.08","7.87","19","7.88","Top","90.00","R 0.1W SMTF 1.0K"
"R18","SM0805","32.98","8.17","32","8.18","Top","90.00","R 0.1W SMTF 1.0K"
"RGB","61201621721","52.94","72.89","44","66.72","Top","0.00","61201621721"
"RST","TL1105CF160Q","62.03","11.98","62","11.98","Top","90.00","TL1105CF160Q"
"TP5v","DSC","32.08","44.16","32","44.16","Top","0.00","1WP"
"TP24V","DSC","7.45","52.96","7","52.96","Top","0.00","1WP"
"Y1","ABM3B","44.25","61.03","44","61.03","Top","90.00","ABM3B-25.000MHZ-10-1-U-T"
"Y3","ABM3B","42.13","26.37","42","26.13","Top","180.00","ABM3B-8.000MHZ-10-1-U-T"
