"Designator","Footprint","Pad X","Pad Y","Mid X","Mid Y","Layer","Rotation","Comment","Value"
---------------------------------------------------------------------------------------------
"IC1","SOIC127P600X170-9N","5.23","41.67","5.23","41.67","Top","0.00","TPS5450DDAR","TPS5450DDAR"
"C1","CAPAE1030X1270N","24.03","31.62","24.03","31.62","Top","0.00","50SVPF68M","50SVPF68M"
"C2","C0805","5.28","45.82","5.28","45.82","Top","0.00","08055C103KATDA",""
"D1","SMC_DPAK","12.98","50.40","12.98","50.40","Top","90.00","SBRD10200TR","SBRD10200TR"
"R1","SM0805","2.73","35.87","2.73","35.87","Top","270.00","R 0.1W SMTF 10K",""
"R2","SM0805","4.63","33.07","4.63","33.07","Top","270.00","R 0.1W SMTF 3.3K",""
"C3","CAPPM3528X200N","22.78","40.92","22.78","40.92","Top","270.00","6TPE220MAZB","6TPE220MAZB"
"J1","SHDR4W100P0X508_1X4_2132X1200X","5.73","18.65","5.73","18.65","Top","270.00","1869237","1869237"
"C4","CAPPM3528X200N","26.68","40.97","26.68","40.97","Top","270.00","6TPE220MAZB","6TPE220MAZB"
"IC2","SOT230P700X180-4N","26.33","10.97","26.33","10.97","Top","0.00","LM1117IMPX3.3_NOPB","LM1117IMPX3.3/NOPB"
"C9","C0805","17.78","12.57","17.78","12.57","Top","90.00","08055C103KATDA",""
"C7","C0805","15.53","11.37","15.53","11.37","Top","90.00","08055C103KATDA",""
"C12","C0805","13.38","11.37","13.38","11.37","Top","90.00","08055C104KATDA",""
"PIC32","SOIC127P1030X265-28N","51.13","27.97","51.13","27.97","Top","0.00","PIC32MX170F256B-50I_SO","PIC32MX170F256B-50I/SO"
"R3","SM0805","51.83","38.57","51.83","38.57","Top","270.00","R 0.1W SMTF 10K",""
"R4","SM0805","51.83","40.97","51.83","40.97","Top","270.00","R 0.1W SMTF 10K",""
"C11","C0805","60.73","35.57","60.73","35.57","Top","270.00","08055C103KATDA",""
"C6","CAPPM3216X180N","59.43","39.12","59.43","39.12","Top","0.00","TCJA106M016R0200","TCJA106M016R0200"
"RGB","61201621721","52.37","72.18","52.37","72.18","Top","0.00","61201621721","61201621721"
"RST","TL1105CF160Q","61.48","11.27","61.48","11.27","Top","90.00","TL1105CF160Q","TL1105CF160Q"
"R5","SM0805","52.93","10.77","52.93","10.77","Top","0.00","R 0.1W SMTF 10K",""
"IC4","SOP65P780X200-28N","39.88","48.27","39.88","48.27","Top","90.00","ENC28J60-I_SS","ENC28J60-I/SS"
"R6","SM0805","35.83","38.22","35.83","38.22","Top","0.00","R 0.1W SMTF 100",""
"R7","SM0805","38.03","38.22","38.03","38.22","Top","0.00","R 0.1W SMTF 100",""
"R8","SM0805","40.18","38.22","40.18","38.22","Top","0.00","R 0.1W SMTF 100",""
"C16","FKV(D)","30.63","19.60","30.63","19.60","Top","90.00","EEEFK1C101AP","EEEFK1C101AP"
"D3","SODFL4626X110N","23.63","16.92","23.63","16.92","Top","0.00","1N4007F","1N4007F"
"L1","INDPM125128X600N","24.58","51.07","24.58","51.07","Top","0.00","RLF12560T-100M7R5-PF","RLF12560T-100M7R5-PF"
"C5","C0805","20.08","12.62","20.08","12.62","Top","90.00","08055C104KATDA",""
"C8","C0805","58.33","35.57","58.33","35.57","Top","270.00","08055C104KATDA",""
"C13","CAPPM3216X180N","59.88","25.57","59.88","25.57","Top","270.00","TCJA106M016R0200","TCJA106M016R0200"
"C10","C0805","55.58","11.02","55.58","11.02","Top","90.00","08055C104KATDA",""
"C14","C0805","54.23","17.12","54.23","17.12","Top","0.00","08055C104KATDA",""
"C17","C0805","54.23","14.87","54.23","14.87","Top","0.00","08055C103KATDA",""
"C18","CAPPM3216X180N","33.78","41.92","33.78","41.92","Top","180.00","TCJA106M016R0200","TCJA106M016R0200"
"ETH","23019949","13.26","71.52","13.26","71.52","Top","270.00","2301994-9","2301994-9"
"R9","SM0805","47.08","48.62","47.08","48.62","Top","180.00","R 0.1W SMTF 2.7K",""
"R10","SM0805","30.18","68.67","30.18","68.67","Top","270.00","R 0.1W SMTF 47",""
"R11","SM0805","30.23","71.17","30.23","71.17","Top","270.00","R 0.1W SMTF 47",""
"R12","SM0805","30.38","76.17","30.38","76.17","Top","270.00","R 0.1W SMTF 47",""
"R13","SM0805","30.28","73.72","30.28","73.72","Top","270.00","R 0.1W SMTF 47",""
"C15","C0805","30.43","65.72","30.43","65.72","Top","180.00","08055C103KATDA",""
"C19","C0805","30.13","79.17","30.13","79.17","Top","180.00","08055C103KATDA",""
"R14","SM0805","7.48","59.67","7.48","59.67","Top","270.00","R 0.1W SMTF 1.0K",""
"R15","SM0805","14.43","59.72","14.43","59.72","Top","270.00","R 0.1W SMTF 1.0K",""
"Y2","LFXTAL055474REEL","38.08","54.87","38.08","54.87","Top","180.00","LFXTAL055474REEL","LFXTAL055474REEL"
"C21","SM0805","34.48","57.07","34.48","57.07","Top","0.00","08051A220JATDA",""
"C20","SM0805","35.33","60.12","35.33","60.12","Top","90.00","08051A220JATDA",""
"FL1","BLM21BB050SH1D_250_100Mhz_0805","35.23","78.27","35.23","78.27","Top","90.00","BLM21BB050SH1D_250_100Mhz_0805","BLM21BD102SN1D"
"Y3","ABM3B","41.58","25.67","41.58","25.67","Top","180.00","ABM3B-8.000MHZ-10-1-U-T","ABM3B-8.000MHZ-10-1-U-T"
"C22","C0805","42.13","28.67","42.13","28.67","Top","180.00","08055C222KATDA",""
"C23","C0805","41.63","21.77","41.63","21.77","Top","0.00","08055C222KATDA",""
"C24","C0805","34.13","31.17","34.13","31.17","Top","180.00","08055C103KATDA",""
"C25","C0805","34.13","33.57","34.13","33.57","Top","180.00","08055C104KATDA",""
"D2","SMBJ36CATR","13.63","39.87","13.63","39.87","Top","90.00","SMBJ30CA","SMBJ30CA"
"D4","DIONM5436X244N","15.28","18.92","15.28","18.92","Top","90.00","SMBJ6.5CA-Q","SMBJ6.5CA-Q"
"R16","SM0805","43.68","34.82","43.68","34.82","Top","180.00","R 0.1W SMTF 1.0K",""
"PRGM","5","44.15","12.32","44.15","12.32","Top","270.00","CONN_SIL_5",""
"F1","RKEF075","11.67","33.07","11.67","33.07","Top","0.00","RKEF075","RKEF075"
"R17","SM0805","18.53","7.17","18.53","7.17","Top","180.00","R 0.1W SMTF 1.0K",""
"R18","SM0805","32.43","7.47","32.43","7.47","Top","180.00","R 0.1W SMTF 1.0K",""
"5V","LEDT175","22.53","3.93","22.53","3.93","Top","180.00","LED","5SYD"
"3V","LEDT175","28.53","3.93","28.53","3.93","Top","180.00","LED",""
---------------------------------------------------------------------------------------------
